"","Hospital","Specialty","Rotation","Overall","R1","R2","R3","R4","Workload","Stress","Independence","Support","Daytime_workload","Call_workload","Lone_call","Post_call_half","Long_short_call","Call_room","Quarters","AL","Compensatory_leave","Interview","Leave_comments","Work_comments","Comments1","Comments2","class","Comments3","Education","ro"
"1599","RH","SUR",3,4,1,1,NA,NA,2,3,4,4,2,2,"Yes","Yes","No","No",4,"Allow arrangement among HO","Assigned by Department","Need to take official Leave",NA,NA,"rehab heaven, usually we follow senior round only, and help MOs admit cases but its not compulsory, first set of bloods and bean is set by HO, otherwise just need to chud jobsheets and manage ward complaints, drains are not shifted by HO","but strict 3d1c is tiring, if MO is white then u can get complete bed rest, but if not sometimes you only get 1-2 hrs intermittent sleep","M21",NA,2,"SUR RH"
"1600","RH","SUR",3,5,4,5,5,5,2,2,4,5,1,2,"Yes","Yes","No","Yes",4,"Allow arrangement among HO","Assigned by Department","Allow arrangement among HO",NA,NA,"very chill and hea.",NA,"M21",NA,4,"SUR RH"
"1601","TKOH","SUR",1,1,1,1,1,1,3,5,3,1,3,3,"Yes","Yes","No","Yes",NA,"Allow arrangement among HO","Assigned by Department",NA,NA,"For OT, some doctors expect you to scrub in, some don't care
TKOH RADI is the worst Dept in HA. Radiologists are totally incompetent and they only ask you to correlate clinically and perform further Ix if indicated (you may ask the nurses about a radiologist named Ronee Chan). They would reject urgent scans for reasons that are nonsense (e.g. full name of CMO is not written)","Seniors (AC or above) are mostly hostile and incompetent. Women (and some men) are all bitchy. They never voice out their expectations on HO but would blame you for the slightest mistake (or not even mistake) you make (clerical works, or works that won't affect patient safety or quality of care). Tommy Lau, the one fat like buddha, looks like he doesn't care, but is actually the kind of ppl who would talk behind your back. Good luck and watch road if you need to work in this crappy dept.","Nurses are kind tho~ Try to befriend them and make your life happier ^_^","M21",NA,1,"SUR TKOH"
"1602","TKOH","SUR",3,4,2,2,4,4,3,3,3,3,2,3,"Yes","Yes","No","Yes",5,"Allow arrangement among HO","Assigned by Department","Allow arrangement among HO",NA,NA,"Chill","Little interaction with MO
Be careful when you book scan
TKOH radi is shit","M21",NA,1,"SUR TKOH"
"1603","TKOH","SUR",4,4,4,4,5,5,2,2,3,4,3,2,"Yes","Yes","No","Yes",4,"Allow arrangement among HO","Allow arrangement among HO","Allow arrangement among HO","Flexible","Very good phlebotomist service (can call them, basically no difficult beans)
OT are compulsory if the OT is by Dr Bryant Chan (intern coordinator)
Very poor radi department, will report u for wrong details (make sure all u write down in request are true)","Good place for rehab","Make sure don’t have your intern coordinator/ radi department unhappy","M21",NA,3,"SUR TKOH"
"1604","TKOH","SUR",3,3,2,2,3,3,3,3,2,3,3,2,"Yes","Yes","No","Yes",2,"Allow arrangement among HO","Allow arrangement among HO",NA,NA,"Sometimes will call HO in if they don’t hv enough ppl in OT, else is not compulsory; 
Admission is not compulsory; 
Radi is super annoying","Workload not much for a surgical rotation; not much to learn",NA,"M21",NA,2,"SUR TKOH"
"1605","TKOH","SUR",3,2,1,1,2,2,5,5,2,3,4,5,"Yes","Yes","No","Yes",2,"Allow arrangement among HO","Assigned by Department",NA,NA,NA,"- Not as good as described in previous review
- Incompetent nurses: ""Na134"", ""TropI normal to normal"", ""Hb dropped 0.9 in 3 days"", ""A lot of hw"" (actully 1), ""Fe is ferritin"", ""抽定type and screen"" (Plt result not out, even if low, no need draw because drew before in the same hospital), ""below is the multistix result (totally normal)"", didint know how to print CXR jobsheet from computer herself called houseman to go print, etc etc etc
- Night time frequent calls for silly things, eg. tachycardia 120 but actually already tachy for a few days, charted in am and pm round HR 120-130
- Stupid system for printing blood taking label ""E-system"", wastes a lot of time
- 6am abg almost every day
- Some MO not friendly
- All first call MO are good
- Failed some houseman this year
- Suggest weekend postcall houseman stay until at least 1200, otherwise on call self do will only be able to have lunch at 4pm or even later",NA,"M21",NA,2,"SUR TKOH"
"1606","TMH","SUR",3,5,3,3,4,4,4,2,4,5,4,4,"Yes","No","No","Yes",5,"Allow arrangement among HO","Assigned by Department","Allow arrangement among HO",NA,"TMH phlebotomists are the strongest in HK","TMH Surg service is suboptimal to patients in my opinion -- from time to time have patients podt-op complications ... So i think here is not a good place to train as a MO if you expect high quality trainjng. Yet, as Ho, this is quite a good place --- night can have good sleep, max I sleep for a consecutive of 7 hours here. As I dont like Surgery , I am glad that they dont force me to enter any OT (no OT week thanks God). Nurses and doctors are nice in general.

Accomodation in TMH is well known as heaven. It is like a hotel room. All rooms are for one person, no need share room with other people.","TMH Surg requires HOs to do BSUSG to look for hydronephrosis/stone --> all of us can master this skill before we leave. I think this skill will be super valuable and important as a MO in the future.","M21",NA,2,"SUR TMH"
"1607","TMH","SUR",1,4,4,4,1,1,5,5,5,4,4,5,"No","No","No","Yes",5,"Allow arrangement among HO","Assigned by Department","Allow arrangement among HO",NA,NA,"You’re on your own dealing with all the ward complaints and there are constantly many shock, lum BP, desat, sepsis, LOC, decrease GC every single night, you will make very good use of houseman handbook and break your leg, MO won’t appear unless arrest call or you call them (sometimes smart nurses e.g. D4 will call them when in need), you’re almost completely independent, HUGE stress, but this hell makes you grow rapidly 
Very good clerical and phlebotomist support 24/7, never need to do the boring job like job sheet, don’t need to set hep Block or draw blood culture, 
Only type dc summary of admission less than 5 days which is easy 
Really a good place for you to grow and become independent, you can feel the stress and responsibility of saving life. 
Though the management may not be proper, :) 
",NA,"M21",NA,3,"SUR TMH"
"1608","TMH","SUR",1,3,3,2,1,1,5,4,5,4,4,5,"Yes","No","No","Yes",5,"Allow arrangement among HO","Assigned by Department","Allow arrangement among HO","Not sure about interview arrangement","1. Admission is not compulsory during call but MO may ask you to do so if they are in OT
Of course you can help admission, they will be very grateful for that, also good if you want to perform well
2. TMH has the best phlebotomist support, even during on call hours, they will literally rush over to do arrest beans, please treat the phlebotomists well, they are your helpful friends; they also have to do ECG at nights
3. No need to r scan in TMH, you only have to type request & call CT suite that you have made the request lol radi will call MO themselves
4. Escort is sometimes very exciting, you may have to escort patients with septic shock on inotrope support to image-guided drainage etc; must rmb how to use oxylog","Please be nice and kind to your fellow HO, it makes a HUGE difference if everyone is willing to help and share the workload; having good colleagues is what made me survive the first month of my rotation.  
Really try to finish PM round HW for your on call colleague, or else they won't be able to have dinner until midnight, unless you want the same for yourself. 
Lifestyle: 
- Don't expect any life in TMH, what you do is work and call and sleep and eat and you will be too tired to do anything else
Educational value: 
- They don't allocate OT time, so if you want to assist in OT, you will have to ask your colleagues to cover your duties
- tbh, you may find yourself too busy to learn surgery stuff
- but if you want a chur first rotation to learn the things a HO should know how to handle, TMH is the place for you
MO support
- most of the TMH MO are friendly and willing to teach
- quality of MO from fam med/ A&E varies
Nurses & phlebotomist & PCA
- most of the nurses are helpful, but of course there always weird calls at 3am reading to you every single component of RFT with normal values and ask if you wanna do anything or keep calling you to 補K...
- as mentioned TMH 血姑 is truly the best
",NA,"M21",NA,3,"SUR TMH"
"1609","UCH","SUR",3,4,3,3,5,5,2,3,4,3,2,4,"Yes","Yes","Yes","Yes",1,"Assigned by Department","Allow arrangement among HO","Allow arrangement among HO",NA,NA,"chilled, but sometimes difficult calls. mix of good and bad/intense seniors",NA,"M21",NA,3,"SUR UCH"
"1610","UCH","SUR",1,4,5,4,4,4,4,3,3,4,4,4,"Yes","Yes","Yes","Yes",2,"Assigned by Department","Assigned by Department","Allow arrangement among HO",NA,NA,"Seniors and nursing staffs are nice and friendly in general. Quite busy during daytime and also on call. Housemen mainly responsible for clerical work (e.g. print job sheets, DC summary, booking scans, sending consults) but you can still learn by rounding cases, compulsory admission and scrubbing in OTs if you are keen.",NA,"M21",NA,3,"SUR UCH"
"1611","UCH","SUR",1,4,4,3,2,2,4,3,4,4,3,4,"Yes","Yes","Yes","Yes",2,"Allow arrangement among HO","Allow arrangement among HO","Allow arrangement among HO","Preassigned AL but allow swapping",NA,"Staff are generally friendly, canteen food is good",NA,"M21",NA,4,"SUR UCH"
"1612","UCH","SUR",2,3,3,3,3,3,5,4,4,3,4,5,"Yes","Yes","Yes","Yes",3,"Allow arrangement among HO","Allow arrangement among HO","Allow arrangement among HO",NA,"Day centre stuffs (IVBCG) for Uro houseman only
Never got time for OT/OPD","Crazy, insane, but I survived :o)
MOs are nice but too busy to teach/ interact
Nurses are nice and friendly though (best night food I have ever had throughout houseman year😋)","Assessment grade depends on team coordinator","M21",NA,3,"SUR UCH"
"1613","UCH","SUR",1,4,4,4,2,2,4,5,5,4,4,4,"Yes","Yes","Yes","Yes",3,"Allow arrangement among HO","Allow arrangement among HO","Allow arrangement among HO","Can only swap entire period of AL",NA,"MO and nurses are quite nice 
Daytime duty quite chur cause a lot of jobsheet and dc sum 
Nearly all ward complaints are handled by houseman, but its quite flexible, can verbal order
Urgent scans are negotiated by MO
For those who wanna do sur, following Team C and U are gd as they will teach, sometimes can ask for chance to cut abscess during call, MO are willing to teach, can learn BSUSG. In general a fair choice to learn.
For those who want a hea sur to rehab, prob not a gd choice",NA,"M21",NA,3,"SUR UCH"
"1614","UCH","SUR",2,1,1,1,1,1,5,4,3,2,5,4,"Yes","Yes","Yes","Yes",1,"Assigned by Department","Allow arrangement among HO","Allow arrangement among HO",NA,"so called ward procedures only includes shifting drains
UCH blood gu strong sometimes (can take culture), but some blood gus cant even set drip / take blood so you will be asked to do so","honestly the WORST place, dont come here for your sake
seniors are horrible (force you to follow round, and so incompetent that they will ask you to make unnecessary urgent consults eg tnt 70 and ask HO to take Q6h RFTs)
start working at 0730 doesnt make any sense
 in fact the nurses are much better (7A nurses some of the best you will ever meet in your career)
daytime workload depends on how many HO during your rotation. if 7 HO, 1 HO will be working alone which is absolute hell with 20+ D/C sums, countless job sheets, refer PT/OT, t&s, ABGs to take, not to mention absolutely unnecessary urgent consults where the medical MO gets pissed at you (multiply all that x2 with BD rounds)
call is more relatively more relaxing, although nurses will push you to admit cases. junior MOs are generally nice (but some surgeons will cho dai if you dont admit cases)
overall you are just being a PA at this place, totally learnt NOTHING during this rotation except for shifting drains
even if your interest in surg for gods sake dont come here","horrible shithole","M21",NA,1,"SUR UCH"
"1615","UCH","SUR",2,3,4,3,2,2,4,3,4,4,4,4,"No","Yes","Yes","Yes",3,"Assigned by Department","Allow arrangement among HO","Allow arrangement among HO","Allowed us to arrange own call list",NA,"Weekend workload can be overwhelmingly busy; 
MO & most seniors are nice; nurses mostly ok 
Not a place to learn book stuff/ fancy surgeries, but you'll see lots of wrinkled cases & learn to stay calm & admit cases efficiently","COS said they're hiring PA for next year; if successful workload would be muchhh improved","M21",NA,3,"SUR UCH"
"1616","UCH","SUR",4,4,4,4,4,3,2,4,2,2,2,4,"Yes","Yes","Yes","Yes",5,"Assigned by Department","Allow arrangement among HO",NA,NA,NA,"Pros 
-HW is 70% clerical work!  30% lum BP and dec UO 
-Some teams have daily grand round-->more learning opportunity for surgery enthusiast! 
-2-3 HOs per ward is quite do-able --> Free time to go to OT during daytime/(rest)! 
-Rare post-call off for Surg! (you can use post call time to go to OT for R1/2) 
-PM round by MO at ~1PM --> can finish early 
-8HOs can be fun! 
-no need r scan during COVID 
-Jobsheet machine 

Cons 
-lifts
-Quite a lot admissions 
-Frail cases
-Paibarn layout
-Jobsheet machine",NA,"M21",NA,2,"SUR UCH"
"1617","UCH","SUR",2,4,4,4,2,2,5,4,4,5,4,4,"No","Yes","Yes","Yes",3,"Allow arrangement among HO","Allow arrangement among HO","Allow arrangement among HO",NA,"very good phlebotomist support
MOs will negotiate with gist for ALL urgent scans!
case load quite heavy though
workload quite manageable if there are 8 HOs
(we had 7, and can be difficult esp. if someone is on AL/ compensatory leave)","can be highly educational if wanna do surgery, as ALL MOs are very nice
lifestyle not bad as there is the rare post call half days for a surgery rotation","not a bad choice for rot 1/2","M21",NA,4,"SUR UCH"
"1618","YCH","SUR",3,4,2,2,4,5,3,2,2,4,2,3,"Yes","No","No","Yes",3,"Allow arrangement among HO","Allow arrangement among HO","Need to take official Leave","If you want to take leave for interview, covid vaccination, or choose your own compensatory leave, tell the intern coordinator Dr. Chu WY in person, EARLY during the rotation. Don't try to request it last minute or email him, or your request will not be entertained. The secretary Boots Lau is quite useless and will just ask you to contact Dr. Chu yourself.","During covid, compulsory OT and OPD duties were cancelled. I heard during non covid times that it was one week total, but you will not have calls during that week.","This is a really great place to spend your surgery houseman life if you are NOT interested in becoming a surgeon! Most people here are nice to you and relatively chill because it is such a small hospital. You can spend a lot of free time with other housemen here. Super nice to have some relaxation during daytime, especially if your other 3 houseman rotations are at big busy hospitals.","Covid can mess up stuff and you might have to help a lot with covid patients and even with medical patients. However the workload distribution is disorganized here, so you won't get that much extra workload overall.

Sometimes on call you might want to die because it can get really busy really fast. Sometimes the phlebotomists will refuse to take routine bloods from a few patients at 6am and force you to take the blood instead. Sometimes covid can cause many people to take sick leave and leave you without any first call MO. These are all possible frustrating aspects. But overall working here has much more pros than cons.","M21",NA,2,"SUR YCH"
"1619","YCH","SUR",4,5,5,5,5,5,5,4,4,4,4,3,"Yes","Yes","No","Yes",4,"Allow arrangement among HO","Assigned by Department","Allow arrangement among HO",NA,NA,"The workload is quite ok. MO are willing to provide more learning opportunities if you are proactive. People are nice.",NA,"M21",NA,4,"SUR YCH"
"1620","YCH","SUR",3,5,4,5,5,5,3,3,3,4,3,3,"Yes","No","No","Yes",4,"Allow arrangement among HO","Assigned by Department","Need to take official Leave",NA,NA,"Workload was busier before COVID. Mx more proper than previous comments suggested, quite protective with fewer responsibilities given to HO, tho MOs are nice and willing to teach",NA,"M21",NA,4,"SUR YCH"
"1621","YCH","SUR",2,5,4,4,5,5,1,1,2,4,2,2,"Yes","No","No","Yes",4,"Allow arrangement among HO","Assigned by Department","Need to take official Leave",NA,NA,NA,"-very rehab. Just work for 2 hours in morning then another 2 hours in afternoon.
-nurses are nice, call us our name instead of “houseman”, 成日請我地食野, and invite us to xmas party!!
-call room is the best! Large bed, with independent toilet, with window, very very near to wards
-doctors (MOs, and even the ACs) here are also very nice
-nurses hv low threshold for calling MO, sometimes just very simple ward complaint they also call MO, quite protective 
-official working time starts at 8am, but we usually go to clear hw only at 9am. And can usually leave on time
-have one week for attachment, no ward duty, you can go in OT/OPD. But it is also “not compulsory”, no one takes attendance lol
-not a good place for learning though xd","M21",NA,2,"SUR YCH"
"1622","YCH","SUR",1,4,3,4,5,5,2,1,3,5,2,3,"Yes","No","No","Yes",3,"Assigned by Department","Allow arrangement among HO","Allow arrangement among HO","AL is preassigned but you could swap with yr colleagues, you choose yr own compen",NA,"pretty chill, ppl are nice, didnt reli learn a lot, good for R3/4",NA,"M21",NA,1,"SUR YCH"
"1623","YCH","SUR",1,4,3,3,5,5,2,5,4,4,2,3,"Yes","No","No","Yes",4,"Assigned by Department","Allow arrangement among HO",NA,NA,NA,"Little educational value, very good lifestyle, a lot of free time during day time to do own work",NA,"M21",NA,3,"SUR YCH"
"1624","YCH","SUR",1,4,3,3,5,5,2,4,5,3,2,3,"Yes","No","No","Yes",3,"Assigned by Department","Allow arrangement among HO",NA,NA,NA,"Work-life balance may depend on wards, but generally very very good","Assessment depends on coordinator","M21",NA,2,"SUR YCH"
"1625","YCH","SUR",1,4,3,3,4,4,4,2,4,3,4,3,"Yes","No","No","Yes",3,"Assigned by Department","Assigned by Department",NA,NA,NA,"not much educational value, most seniors and nurses are nice",NA,"M21",NA,2,"SUR YCH"
"1626","PWH","SUR",4,3,4,4,3,2,3,4,4,4,4,3,"No","Yes","No","Yes",3,"Assigned by Department","Allow arrangement among HO","Allow arrangement among HO",NA,NA,"Good if Ro1/2; compulsory BD rounds by HO for some teams in ro3/4 is chur and not appreciated by MOs",NA,"M21",NA,4,"SUR PWH"
"1627","QEH","SUR",1,4,4,4,1,1,5,2,4,3,5,5,"No","No","No","Yes",5,"Assigned by Department","Assigned by Department","Need to take official Leave",NA,NA,"Good educational value if you want to do surgery. Also if you want to train yourself to be a competent houseman, then this rotation is for you. Very far from rehab unless under COVID (exceptional circumstances). Our rotation has no covid so workload is as usual 
Nurses give you marks other than doctors but some nurses can be difficult to deal with (some nurses are friendly tho), also you will learn that some nurses are more competent than others
Very high workload day time and call time, manageable still (can have meals unless you are unlucky) but there may be other options than QEH Surgery if you want to do surgery (you can foresee the workload as an MO here)
Sleep on-call depends on your whiteness, 0-6hrs prn (fragile patients, arrest/desat requiring your ABG/fall BP requiring your HB/fever requiring your blood culture/ anemia requiring your T&S/patients requiring escort/urgent contrast CT requiring new pink HB/EOT require you scrub in are common, luckily AED here set HB and drawn common bloods for most already)
Compulsory HB means for difficult HB on-call, you cannot leave if you have not done it (not uncommon to find patient with no visible veins requiring pink/green HB which you need to find other HO to help you) 
Will make good friends and comradeship throughout this period (or else you have personality issues)
It is not worth the hell workload if you have not transformed into a more competent house officer
Can definitely test your love for surgery","Learning value also depends on team, some teams value houseman input more
Ward rounds start early in the morning, most MOs have already started at 6:30am
Hands-on procedure including intravesical BCG/MMC (weekdays), bedside USG and TRUS (such HW also appears at weekends) for urology houseman, (plus one houseman need to do OPD HW, so workload can be an issue if one man down due to post-call/AL)
OT/OPD duties for some general surgery teams
Only 2 call rooms for 3 on-call houseman, the other has to sleep on examination bed (difficult to sleep)
Houseman quarters is double-room with own sink, clean and good service (daily cleaning, changing of bedsheet, refilling of water jar, distribution of uniform)
","M21",NA,5,"SUR QEH"
"1628","KWH","SUR",3,4,5,4,4,4,3,4,4,4,4,4,"No","No","Yes","No",3,"Assigned by Department","Assigned by Department","Allow arrangement among HO",NA,NA,"pretty good educational value, good rotation with mostly nice seniors",NA,"M21",NA,4,"SUR KWH"
"1629","PYNEH","SUR",3,4,4,4,4,4,3,3,3,4,3,3,"No","No","No","Yes",5,"Allow arrangement among HO","Assigned by Department","Need to take official Leave",NA,NA,"I had an overall great time here! Doctors are generally nice. A few expect u to admit cases during call but not all. Nurses can be annoying as they always call u to take “urgent” blood which is l ofc urgent at all, and this is due to poor phlebotomist support. No one reli cares if u r being occupied with sth else and too busy to take the “urgent” blood. It is not compulsory to pre/follow rounds. You have time to have breakfast / afternoon tea with your colleague in the common room on the 1/F. Dorm is spacious n clean.","The bad thing here is u need to round 牌子 for homework. You would hate this if this is not your first rotation but you would soon get used to it.","M21",NA,4,"SUR PYNEH"
"1630","KWH","SUR",2,4,4,4,2,1,4,3,4,4,4,5,"Yes","No","Yes","No",1,"Allow arrangement among HO","Assigned by Department","Allow arrangement among HO",NA,"plastics clinic 2x/week for skin biopsy 
","admission are almost compulsory coz nurses will only call HO, then you admit and call MO to tell them about the case. but most MOs will monitor CMS themselves to see if there are any new cases. but def dont expect to be able to sleep though an entire call and not admittin g a single case. may kinda suck if youre not interested in surg and youre super black on call 

no IPMOE / verbal order means you need to go to the ward very often during call which can be annoying. nurses will also call you for super moliu stuff even when they know nth needs to be done (e.g: I/O imbalance then they ask you to write keep observe), coz they need to document that they hv informed someone","all the MOs ive met are really nice and will help if you have any questions. most will also treat dinner :D","M21",NA,4,"SUR KWH"
"1631","PYNEH","SUR",3,4,3,3,3,3,3,3,2,4,2,3,"No","No","No","Yes",5,"Allow arrangement among HO","Allow arrangement among HO","Allow arrangement among HO",NA,"team dependent, blood gu service is abysmal.  some wards would force you to take all AM bloods cus blood gu ng duk han :D","not very educational, working lifestyle is good, usually get a few hours rest time between morning rounds and afternoon rounds.  met some of the best people i know there",NA,"M21",NA,3,"SUR PYNEH"
"1632","QEH","SUR",1,4,5,4,2,2,5,3,3,4,5,4,"No","No","No","Yes",2,"Assigned by Department","Assigned by Department","Need to take official Leave",NA,NA,"am duty / e call could be very busy but learn fast 
e call 40 adm w/o post call half and need pre round = torture  
R scan and compul hit beans / cst is rly on9
can up to 15 beans / ward / night 
nurses generally nice except for some in a4/g4 but not v competent and may keep calling u for stupid things 
most seniors nice, willing to teach & welcome HO to assist in OT, except szeto.. ready for being scolded / ts when hb 12 w/ only mild bleed or cst when T 37.6 
good place for R1/2 & wanna join surg but definitely not suggested if R3/4","daytime rly busy for c adm, u scan & consult, abg ts first ~ 10-11
then R & advance scan ~11-12 
then many char sum, beans, cst 
but usually can still lunch ~1-2 
if uro anyone on leave jau fucked up.. 1 fixed at opd for clerk stuff; remaining 1 need bcg x 6-7/d & handle 2 wards
pm usually more chill and usually can leave ~ 5-6
call is not v bad except for many beans / e call","M21",NA,4,"SUR QEH"
"1633","QEH","SUR",3,4,4,4,3,3,4,2,3,4,4,4,"No","No","No","Yes",3,"Assigned by Department","Assigned by Department","Allow arrangement among HO","Cant choose when your AL is is kinda bad
Also doesnt allow you to swap your sunday duties to create full weekend off","Uro HO:
- one need to go ACC to help Uro MO 執手尾 for their ordered Mx (eg book scan, sign consent, print JS, book uro OPD, referrals)
- procedures: one Uro HO need to do BCG intravesical instillation every morning, ranging from 1 to 5 cases per day (rmb to call H10 to ask how many BCG that day!! otherwise they will just ambush you at 11:30am when u about to eat lunch: 5個BCG到齊晒啦～) then your time plan would be completely fucked up","Good rotation
Can have very high learning value if keen","Had QEH SUR as my rot 3 so I experienced both pre- and post-covid wave

General comment: I am very thankful for peer HOs who always team up and cover all the wards here and there wherever need help
I do recommend this both daytime and on call, sweep all the wards and cover for each other more wherever need help, and do 孖咇/tri-咇 during on call
Also the flexibility for verbal order is low, cant even v/o D50/ K syr/ resonium/ actrapid (wtf)

Pre-covid:
Daytime workload is manageable unless you happen to work alone in H4
Compulsory hit bean is a fking problem
E call can be very busy during on-call, easily have 30+ admissions; lots of hw even if you admit 0 cases
W call is better, can sleep like 4-5 hrs
Uro HO slightly more busy
E call have post call half day

Post-covid:
QEH SUR became rehab, admit a few cases per night only
E call was cancelled (altho nurses still call u for adm), and only 2 ppl on call per night
Bean duty was later removed
Only need to work 3-4 hrs per day, can have daily lunch tgt + bbt round + card games

Most MOs are very nice esp junior ones
There is ONE malignant male MO who would just let new cases hang there, not admit them, but 催 you when u doing the admission; he has 2 E calls per month
He is racist towards CUHK ppl 
Pro tip: You can recognize his odour when u walk into a ward if he's there, then you shd turn away and leave
E4 nurse is BEST
G4 have 2 ma farn female APN
HO need do urgent consults
They use an on9 special large airplane for bld cul, not sure if u would like it
No LUCAS
Not too many scans to R, but u needa walk ultra far if R MRI
Anyway, can off work sharp at 5pm is really gd","M21",NA,4,"SUR QEH"
"1634","NDH","SUR",3,3,5,5,3,3,4,4,5,3,4,4,"Yes","Yes","Yes","Yes",5,"Allow arrangement among HO","Allow arrangement among HO","Allow arrangement among HO",NA,NA,"Good if you want to be surgeons. You will have loads of chances to round cases and time to enter OT in case you want to. But you will want to die if you go there in 3rd/4th rot and you don't wanna do surgery (coz you'll need to round a lot of cases, especially for team A; actually workload very acceptable for team B/C/U)

Expect you to appear in round. 
Usually can clear AM round hw at around 10-11. No need to r urgent scan. No need to urgent consult (to be done by MO) so basically you need to print job sheet, take bloods, type dc sum. Sometimes day centre will call you to do a some suture and print job sheet

Need to help admit cases. But if you're 3rd or 4th, MO will understand that you don't help admit cases.

HAVE POST-CALL HALF DAY. RELATIVELY FEWER CALLS in surgery. So if you're lucky you can somehow rehab (i.e., in team B/C/U) The seniors are generally ok and supportive. 

Nurses are somehow malignant, especially for female wards. Call you impolitely. Other wards are actually reasonable. But will call you for stupid stuff at night, e.g., call you fever then after you workup, call you again for the same fever and tell you the body temperature decreases for 0.2 C, then ask you anything to do. (in the middle of night, i.e., 3AM)

I guess if you want to do Surg, NDH Surg is a good choice. But otherwise, may not be as good.
",NA,"M21",NA,5,"SUR NDH"
"1635","PWH","SUR",3,5,4,4,5,5,1,2,3,4,2,3,"No","No","No","Yes",5,"Assigned by Department","Assigned by Department","Allow arrangement among HO",NA,NA,"Gen surg generally busier than jarp surg, calls are quite good except for E call (half of gen surg calls), otherwise can usually sleep 4hour+ Can be very chill if you are in some hea teams (e.g. paedi, plastic)","Good place for ro 3,4 quite rehab during jarp surg 1.5 month, calls are good as for surg, unexpectedly nice seniors and MOs","M21",NA,4,"SUR PWH"
"1636","QEH","SUR",3,4,4,4,3,3,4,4,4,4,4,3,"No","No","No","Yes",2,"Assigned by Department","Assigned by Department","Allow arrangement among HO",NA,NA,"MO are nice
quite fun if u hv good colleagues",NA,"M21",NA,3,"SUR QEH"
"1637","QMH","SUR",1,4,4,3,3,2,4,4,3,4,3,4,"No","No","No","Yes",4,"Allow arrangement among HO","Assigned by Department",NA,NA,NA,NA,"Need to set all HBs, compul post call presentation at 8:30, admission call staying at admission wards with 2 housemen for ward duties, 1 houseman per ward for 1-2 surg subspecialty, can request which subspecialty beforehand","M21",NA,4,"SUR QMH"
"1638","PWH","SUR",3,4,4,4,4,4,3,3,3,4,3,3,"No","Yes","No","Yes",4,"Allow arrangement among HO","Assigned by Department","Need to take official Leave",NA,NA,"good support from seniors and intern coordinator",NA,"M21",NA,4,"SUR PWH"
"1639","UCH","SUR",2,2,2,2,2,3,4,5,2,1,4,4,"No","Yes","Yes","Yes",1,"Assigned by Department","Assigned by Department","Allow arrangement among HO",NA,NA,"No educational value, all I learnt was how to shift drain","The only good thing is post call half day","M21",NA,1,"SUR UCH"
"1640","PWH","SUR",1,5,5,4,3,3,4,2,4,4,4,4,"No","Yes","No","Yes",4,"Assigned by Department","Assigned by Department","Allow arrangement among HO",NA,"Supposedly day time no phlebotomists for setting drip as banned by COS but they do help; blood cultures before 12nn can be done by phlebotomists; only need to call radi for urgent scans after office hours, otherwise fax form","The best rotation which i learned the most as future medical officer, as I am involved in doing pre-rounds and presenting cases in senior round; excellent learning if you want to do surgery, however early and long working hours and compulsory ward rounds may not be good for rotations 3/4; very high rate of MO quitting training so may not be a good place for surgical training though; wonderful colleagues with houseman room that we can bond",NA,"M21",NA,5,"SUR PWH"
"1641","KWH","SUR",2,4,5,5,3,3,3,4,3,4,3,5,"Yes","No","Yes","No",NA,"Allow arrangement among HO","Assigned by Department","Allow arrangement among HO",NA,NA,"Daytime workload is fine , but call is chur",NA,"M21",NA,4,"SUR KWH"
"1642","PMH","SUR",3,3,3,3,4,4,3,3,3,4,3,3,"No","No","No","Yes",2,"Assigned by Department","Assigned by Department","Need to take official Leave",NA,NA,"Fair rotation, 不過不失. Your life will depend on which team you are assigned + whether you have pk colleagues. Some teams' workload is fine (or even heaven) and sometimes educational when profs/AC/consultant teach. Generally quite good clinical exposure.",NA,"M21",NA,4,"SUR PMH"
"1643","PYNEH","SUR",3,4,4,4,5,5,4,4,3,4,4,4,"No","No","No","Yes",4,"Allow arrangement among HO","Allow arrangement among HO","Allow arrangement among HO",NA,NA,"PYNEH sur is actually not that bad and quite protective. They generally call MO for ward complaints and critical results. 2 HO during call (one for admission, one for ward duties), can pair together to sweep wards homework. But long working hours as sometimes they round rather late. Overall, not a bad rotation if u just want to get sur out of the way. Training- wise debatable. Tang yeh not there anymore, so things are generally less uptight.",NA,"M21",NA,3,"SUR PYNEH"
"1644","QMH","SUR",1,3,3,3,1,1,5,5,3,4,4,4,"No","No","No","Yes",4,"Assigned by Department","Allow arrangement among HO","Allow arrangement among HO",NA,"literally everyone will yell at you - radiologist, ward nurse, OPD nurse, OPD MOs (why is OPD even our job)",NA,NA,"M21",NA,4,"SUR QMH"
